Date,Team_name,Pitcher_first,Pitcher_last,Doubleheader_flag
2021-05-07,Cincinnati Reds,Wade,Miley,0
2021-05-05,Baltimore Orioles,John,Means,0
2021-04-14,Chicago White Sox,Carlos,Rodon,0
2021-04-09,San Diego Padres,Joe,Musgrove,0
2020-09-13,Chicago Cubs,Alec,Mills,0
2020-08-25,Chicago White Sox,Lucas,Giolito,0
2019-09-01,Houston Astros,Justin,Verlander,0
2019-08-03,Houston Astros,Combined,,0
2019-07-12,Los Angeles Angels,Combined,,0
2019-05-07,Oakland Athletics,Mike,Fiers,0
2018-05-08,Seattle Mariners,James,Paxton,0
2018-04-21,Oakland Athletics,Sean,Manaea,0
2017-06-03,Miami Marlins,Edison,Volquez,0
2016-04-21,Chicago Cubs,Jake,Arrieta,0
2015-10-03,Washington Nationals,Max,Scherzer,2
2015-08-30,Chicago Cubs,Jake,Arrieta, 0
2015-08-21,Houston Astros,Mike,Fiers,0
2015-08-12,Seattle Mariners,Hisashi,Iwakuma,0
2015-07-25,Philadelphia Phillies,Cole,Hamels,0
2015-06-20,Washington Nationals,Max,Scherzer,0
2015-06-09,San Francisco Giants,Chris,Heston,0