Date,Tm,Dh
2021-05-07,Cincinnati Reds,0
2021-05-05,Baltimore Orioles,0
2021-04-14,Chicago White Sox,0
2021-04-09,San Diego Padres,0
2020-09-13,Chicago Cubs,0
2020-08-25,Chicago White Sox,0
2019-09-01,Houston Astros,0
2019-05-07,Oakland Athletics,0
2018-05-08,Seattle Mariners,0
2018-04-21,Oakland Athletics,0
2017-06-03,Miami Marlins,0
2016-04-21,Chicago Cubs,0
2015-10-03,Washington Nationals,2
2015-08-30,Chicago Cubs,0
2015-08-21,Houston Astros,0
2015-08-12,Seattle Mariners,0
2015-07-25,Philadelphia Phillies,0
2015-06-20,Washington Nationals,0
2015-06-09,San Francisco Giants,0